Flow ID,Source IP,Destination IP,Timestamp,Source Port,Destination Port,Protocol,True_Label,Predicted_Label,Response_Playbook
192.168.10.1-192.168.10.3-53-60151-17,192.168.10.3,192.168.10.1,03/07/2017 04:01:54,60151.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.19-53-32132-17,192.168.10.19,192.168.10.3,6/7/2017 10:05,32132.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-52332-9102-6,172.16.0.1,192.168.10.50,7/7/2017 2:52,52332.0,9102.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.25-52.84.145.207-54065-443-6,192.168.10.25,52.84.145.207,4/7/2017 12:15,54065.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.19-53-57195-17,192.168.10.19,192.168.10.3,4/7/2017 11:03,57195.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.14-53-64328-17,192.168.10.14,192.168.10.3,6/7/2017 1:26,64328.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.19-38.126.113.10-123-123-17,192.168.10.19,38.126.113.10,5/7/2017 8:47,123.0,123.0,17.0,BENIGN,BENIGN,
192.168.10.16-104.17.142.111-51804-443-6,104.17.142.111,192.168.10.16,03/07/2017 09:56:41,443.0,51804.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-45262-80-6,172.16.0.1,192.168.10.50,5/7/2017 10:47,45262.0,80.0,6.0,DoS Hulk,DoS Hulk,"```
DoS Hulk Playbook:

**Identification:**
* Confirm high SYN requests from 172.16.0.1 to 192.168.10.50 (port scans common). Check logs for similar patterns.

**Containment:**
* Block 172.16.0.1 at firewall/IPS. Rate limit SYN requests to 192.168.10.50.

**Eradication:**
* Investigate source IP for compromise. Analyze traffic patterns.

**Recovery:**
* Monitor 192.168.10.50 performance. Restore rate limits after verifying attack cessation. Review logs.
```
"
172.16.0.1-192.168.10.50-62130-80-6,192.168.10.50,172.16.0.1,7/7/2017 4:04,80.0,62130.0,6.0,BENIGN,BENIGN,
192.168.10.17-104.20.115.18-41258-80-6,104.20.115.18,192.168.10.17,7/7/2017 2:50,80.0,41258.0,6.0,BENIGN,BENIGN,
192.168.10.14-107.154.102.208-50313-443-6,192.168.10.14,107.154.102.208,5/7/2017 9:46,50313.0,443.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-22414-80-6,172.16.0.1,192.168.10.50,7/7/2017 4:02,22414.0,80.0,6.0,DDoS,DDoS,"**DDoS Playbook**

1. **Identify:** Confirm DDoS. Monitor traffic volume to 192.168.10.50. Check resource utilization (CPU, memory).

2. **Contain:**
    * **Rate Limiting:** Implement rate limits on incoming traffic from 172.16.0.1.
    * **Firewall Rules:** Block 172.16.0.1 at the firewall.
    * **Null Route:** (If necessary) Null route the destination IP (192.168.10.50), acknowledging service interruption.

3. **Eradicate:**
    * **Analyze Logs:** Examine logs for other attacking IPs.
    * **Update Blocklists:** Add identified IPs to blocklists.
    * **Contact ISP:** Report attack, request assistance with upstream filtering.
    * **DDoS Mitigation Services:** Activate DDoS mitigation services (e.g., Cloudflare).

4. **Recovery:**
    * **Monitor Performance:** Track system performance after mitigation.
    * **Adjust Thresholds:** Fine-tune rate limits and firewall rules.
    * **Restore Service:** Remove null route (if applied) gradually.
    * **Post-Incident Review:** Analyze incident, update security measures.
"
192.168.10.25-204.154.111.108-59338-443-6,204.154.111.108,192.168.10.25,4/7/2017 2:29,443.0,59338.0,6.0,BENIGN,BENIGN,
